Code;Libellé;Médiane du niveau de vie 2015
01155;Évosges;20745
01156;Faramans;23707
01157;Fareins;24085
01158;Farges;35203
01159;Feillens;21405
01160;Ferney-Voltaire;25596
01162;Flaxieu;N/A
01163;Foissiat;20856
01165;Francheleins;22839
01166;Frans;24270
01167;Garnerans;22037
01169;Genouilleux;22943
01170;Béard-Géovreissiat;20935
01171;Géovreisset;21714
01173;Gex;31617
01174;Giron;22724
01175;Gorrevod;19627
01177;Grand-Corent;21252
01179;Grièges;21846
01180;Grilly;42628
01181;Groissiat;22832
01183;Guéreins;22960
01184;Hautecourt-Romanèche;20604
01185;Hauteville-Lompnes;20706
01186;Hostiaz;N/A
01187;Haut Valromey;21037
01188;Illiat;22048
01189;Injoux-Génissiat;25771
01190;Innimond;N/A
01191;Izenave;18521
01192;Izernore;21632
01193;Izieu;21047
01194;Jassans-Riottier;21376
01195;Jasseron;23461
01196;Jayat;20803
01197;Journans;25628
01198;Joyeux;22493
01199;Jujurieux;20472
01200;Labalme;20399
01202;Lagnieu;21265
01203;Laiz;21796
01204;Le Poizat-Lalleyriat;23091
01205;Lancrans;23904
01206;Lantenay;23039
01207;Lapeyrouse;24986
01208;Lavours;20777
01209;Léaz;28292
01210;Lélex;22345
01211;Lent;21870
01212;Lescheroux;19571
01213;Leyment;21759
01214;Leyssard;20568
01215;Lhôpital;N/A
01216;Lhuis;20561
01218;Lochieu;N/A
01219;Lompnas;15524
01221;Lompnieu;22350
01224;Loyettes;20832
01225;Lurcy;25190
01227;Magnieu;21902
01228;Maillat;22256
01229;Malafretaz;20712
01230;Mantenay-Montlin;18851
01231;Manziat;22108
01232;Marboz;20936
01233;Marchamp;22504
01234;Marignieu;21546
01235;Marlieux;21107
01236;Marsonnas;20821
01237;Martignat;20295
01238;Massieux;25265
01239;Massignieu-de-Rives;22894
01240;Matafelon-Granges;21086
01241;Meillonnas;23727
01242;Mérignat;18465
01243;Messimy-sur-Saône;24356
01244;Meximieux;21953
01245;Bohas-Meyriat-Rignat;22466
01246;Mézériat;20881
01247;Mijoux;27823
01248;Mionnay;25612
01249;Miribel;23469
01250;Misérieux;24620
01252;Mogneneins;22274
01254;Montagnat;25441
01255;Montagnieu;20575
01257;Montanges;24427
01258;Montceaux;23548
01259;Montcet;22508
01260;Le Montellier;23584
01261;Monthieux;24410
01262;Montluel;20602
01263;Montmerle-sur-Saône;22735
01264;Montracol;21059
01265;Montréal-la-Cluse;18554
01266;Montrevel-en-Bresse;20483
01267;Nurieux-Volognat;21453
01268;Murs-et-Gélignieux;21040
01269;Nantua;16568
01272;Neuville-les-Dames;20578
01273;Neuville-sur-Ain;20509
01274;Les Neyrolles;18037
01275;Neyron;27402
01276;Niévroz;23667
01277;Nivollet-Montgriffon;21970
01279;Oncieu;N/A
01280;Ordonnaz;19744
01281;Ornex;33595
01282;Outriaz;22148
01283;Oyonnax;16675
01284;Ozan;19571
01285;Parcieux;26151
01286;Parves et Nattages;23651
01288;Péron;35576
01289;Péronnas;22210
01290;Pérouges;25274
01291;Perrex;21748
01293;Peyriat;25360
01294;Peyrieu;21045
01295;Peyzieux-sur-Saône;21909
01296;Pirajoux;20697
01297;Pizay;24405
01298;Plagne;26252
01299;Le Plantay;21418
01301;Polliat;23017
01302;Pollieu;26027
01303;Poncin;19759
01304;Pont-d'Ain;20879
01305;Pont-de-Vaux;18714
01306;Pont-de-Veyle;18706
01307;Port;20469
01308;Pougny;35657
01309;Pouillat;N/A
01310;Prémeyzel;20676
01311;Prémillieu;N/A
01313;Prévessin-Moëns;38874
01314;Priay;21926
01317;Ramasse;21846
01318;Rancé;24825
01319;Relevant;22740
01320;Replonges;22291
01321;Revonnas;24308
01322;Reyrieux;26222
01323;Reyssouze;20232
01325;Rignieux-le-Franc;23443
01328;Romans;22554
01329;Rossillon;18781
01330;Ruffieu;21345
01331;Saint-Alban;20863
01332;Saint-André-de-Bâgé;21490
01333;Saint-André-de-Corcy;23808
01334;Saint-André-d'Huiriat;22541
01335;Saint-André-le-Bouchoux;21265
01336;Saint-André-sur-Vieux-Jonc;21531
01337;Saint-Bénigne;21205
01338;Groslée-Saint-Benoit;21097
01339;Saint-Bernard;27855
01341;Saint-Champ;23222
01342;Sainte-Croix;24644
01343;Saint-Cyr-sur-Menthon;21181
01344;Saint-Denis-lès-Bourg;23389
01345;Saint-Denis-en-Bugey;20901
01346;Saint-Didier-d'Aussiat;20772
01347;Saint-Didier-de-Formans;25566
01348;Saint-Didier-sur-Chalaronne;21044
01349;Saint-Éloi;25538
01350;Saint-Étienne-du-Bois;21882
01351;Saint-Étienne-sur-Chalaronne;21137
01352;Saint-Étienne-sur-Reyssouze;19804
01353;Sainte-Euphémie;24995
01354;Saint-Genis-Pouilly;28996
01355;Saint-Genis-sur-Menthon;21680
01356;Saint-Georges-sur-Renon;23161
01357;Saint-Germain-de-Joux;18920
01358;Saint-Germain-les-Paroisses;20991
01359;Saint-Germain-sur-Renon;23408
01360;Saint-Jean-de-Gonville;37382
01361;Saint-Jean-de-Niost;25744
01362;Saint-Jean-de-Thurigneux;25204
01363;Saint-Jean-le-Vieux;21899
01364;Saint-Jean-sur-Reyssouze;20863
01365;Saint-Jean-sur-Veyle;21119
01366;Sainte-Julie;22917
01367;Saint-Julien-sur-Reyssouze;20099
01368;Saint-Julien-sur-Veyle;21323
01369;Saint-Just;24093
01370;Saint-Laurent-sur-Saône;18446
01371;Saint-Marcel;21994
01372;Saint-Martin-de-Bavel;22241
01373;Saint-Martin-du-Frêne;21608
01374;Saint-Martin-du-Mont;22882
01375;Saint-Martin-le-Châtel;21627
01376;Saint-Maurice-de-Beynost;21129
01378;Saint-Maurice-de-Gourdans;25038
01379;Saint-Maurice-de-Rémens;20301
01380;Saint-Nizier-le-Bouchoux;20246
01381;Saint-Nizier-le-Désert;21483
01382;Sainte-Olive;25384
01383;Saint-Paul-de-Varax;20854
01384;Saint-Rambert-en-Bugey;18106
01385;Saint-Rémy;23822
01386;Saint-Sorlin-en-Bugey;24089
01387;Saint-Sulpice;20844
01388;Saint-Trivier-de-Courtes;19143
01389;Saint-Trivier-sur-Moignans;21260
01390;Saint-Vulbas;22036
01391;Salavre;22016
01392;Samognat;23174
01393;Sandrans;21795
01396;Sault-Brénaz;18738
01397;Sauverny;37788
01398;Savigneux;23342
01399;Ségny;37645
01400;Seillonnaz;20995
01401;Sergy;41321
01402;Sermoyer;19425
01403;Serrières-de-Briord;20575
01404;Serrières-sur-Ain;24437
01405;Servas;20475
01406;Servignat;19351
01407;Seyssel;21450
01408;Simandre-sur-Suran;21206
01410;Sonthonnax-la-Montagne;23384
01411;Souclin;20500
01412;Sulignat;21802
01413;Surjoux;N/A
01414;Sutrieu;21858
01415;Talissieu;20597
01416;Tenay;17703
01417;Thézillieu;19902
01418;Thil;27890
01419;Thoiry;34371
01420;Thoissey;17878
01421;Torcieu;21374
01422;Tossiat;23812
01423;Toussieux;24805
01424;Tramoyes;27225
01425;La Tranclière;22151
01426;Val-Revermont;21332
01427;Trévoux;21035
01428;Valeins;23389
01429;Vandeins;21256
01430;Varambon;22386
01431;Vaux-en-Bugey;21607
01432;Verjon;21890
01433;Vernoux;18826
01434;Versailleux;22741
01435;Versonnex;34232
01436;Vesancy;36254
01437;Vescours;17668
01439;Vésines;21603
01441;Vieu-d'Izenave;21417
01442;Vieu;22385
01443;Villars-les-Dombes;22265
01444;Villebois;21286
01445;Villemotier;20983
01446;Villeneuve;22865
01447;Villereversure;20408
01448;Villes;29022
01449;Villette-sur-Ain;23899
01450;Villieu-Loyes-Mollon;23400
01451;Viriat;22991
01452;Virieu-le-Grand;18518
01453;Virieu-le-Petit;21366
01454;Virignin;20574
01456;Vongnes;N/A
01457;Vonnas;19958
02001;Abbécourt;19692
02002;Achery;19990
02003;Acy;21121
02004;Agnicourt-et-Séchelles;17803
02005;Aguilcourt;21737
02006;Aisonville-et-Bernoville;20571
02007;Aizelles;20914
02008;Aizy-Jouy;19780
02009;Alaincourt;19712
02010;Allemant;18785
02011;Ambleny;21866
02012;Ambrief;N/A
02013;Amifontaine;19742
02014;Amigny-Rouy;20420
02015;Ancienville;N/A
02016;Andelain;19236
02017;Anguilcourt-le-Sart;19310
02018;Anizy-le-Château;18233
02019;Annois;18199
02020;Any-Martin-Rieux;18595
02021;Archon;N/A
02022;Arcy-Sainte-Restitue;19396
02023;Armentières-sur-Ourcq;21969
02024;Arrancy;N/A
02025;Artemps;21097
02027;Assis-sur-Serre;19712
02028;Athies-sous-Laon;20280
02029;Attilly;20517
02030;Aubencheul-aux-Bois;18892
02031;Aubenton;16408
02032;Aubigny-aux-Kaisnes;17350
02033;Aubigny-en-Laonnois;N/A
02034;Audignicourt;20657
02035;Audigny;17033
02036;Augy;N/A
02037;Aulnois-sous-Laon;19750
02038;Les Autels;N/A
02039;Autremencourt;19301
02040;Autreppes;16196
02041;Autreville;20665
02042;Azy-sur-Marne;22472
02043;Bagneux;N/A
02044;Bancigny;N/A
02046;Barenton-Bugny;20017
02047;Barenton-Cel;18286
02048;Barenton-sur-Serre;20682
02049;Barisis-aux-Bois;21188
02050;Barzy-en-Thiérache;18182
02051;Barzy-sur-Marne;23495
02052;Bassoles-Aulers;19509
02053;Vallées en Champagne;23988
02054;Bazoches-sur-Vesles;21243
02055;Beaumé;19768
02056;Beaumont-en-Beine;19868
02057;Beaurevoir;16668
02058;Beaurieux;17642
02059;Beautor;16300
02060;Beauvois-en-Vermandois;20635
02061;Becquigny;17753
02062;Belleau;23423
02063;Bellenglise;18523
02064;Belleu;18584
02065;Bellicourt;18076
02066;Benay;20341
02067;Bergues-sur-Sambre;19611
02068;Berlancourt;N/A
02069;Berlise;14241
02070;Bernot;19261
02071;Berny-Rivière;20910
02072;Berrieux;22076
02073;Berry-au-Bac;19704
02074;Bertaucourt-Epourdon;20023
02075;Berthenicourt;21574
02076;Bertricourt;21390
02077;Berzy-le-Sec;21732
02078;Besmé;17115
02079;Besmont;17276
02080;Besny-et-Loizy;23025
02081;Béthancourt-en-Vaux;20553
02082;Beugneux;20743
02083;Beuvardes;20821
02084;Bézu-le-Guéry;23576
02085;Bézu-Saint-Germain;20664
02086;Bichancourt;20178
02087;Bieuxy;N/A
02088;Bièvres;N/A
02089;Billy-sur-Aisne;20164
02090;Billy-sur-Ourcq;19684
02091;Blanzy-lès-Fismes;N/A
02093;Blérancourt;17711
02094;Blesmes;22600
02095;Bohain-en-Vermandois;14105
02096;Bois-lès-Pargny;20197
02097;Boncourt;17975
02098;Bonneil;21175
02099;Bonnesvalyn;21712
02100;Bony;19405
02101;Bosmont-sur-Serre;19092
02102;Bouconville-Vauclair;21180
02103;Boué;18098
02104;Bouffignereux;23739
02105;Bouresches;19622
02106;Bourg-et-Comin;18693
02107;Bourguignon-sous-Coucy;N/A
02108;Bourguignon-sous-Montbavin;22140
02109;La Bouteille;18633
02110;Braine;18433
02111;Brancourt-en-Laonnois;20882
02112;Brancourt-le-Grand;18935
02114;Brasles;21764
02115;Braye-en-Laonnois;19499
02116;Braye-en-Thiérache;16982
02117;Bray-Saint-Christophe;N/A
02118;Braye;20561
02119;Brécy;19562
02120;Brenelle;19303
02121;Breny;17873
02122;Brie;N/A
02123;Brissay-Choigny;20950
02124;Brissy-Hamégicourt;20141
02125;Brumetz;21158
02126;Brunehamel;16261
02127;Bruyères-sur-Fère;20042
02128;Bruyères-et-Montbérault;21661
02129;Bruys;N/A
02130;Bucilly;18225
02131;Bucy-le-Long;21229
02132;Bucy-lès-Cerny;21388
02133;Bucy-lès-Pierrepont;18272
02134;Buire;18197
02135;Buironfosse;17150
02136;Burelles;17358
02137;Bussiares;22541
02138;Buzancy;24228
02139;Caillouël-Crépigny;21807
02140;Camelin;19478
02141;La Capelle;16814
02142;Castres;22193
02143;Le Catelet;17919
02144;Caulaincourt;22439
02145;Caumont;20322
02146;Celles-lès-Condé;N/A
02148;Celles-sur-Aisne;19577
02149;Cerizy;N/A
02150;Cerny-en-Laonnois;N/A
02151;Cerny-lès-Bucy;24493
02152;Cerseuil;N/A
02153;Cessières;21886
02154;Chacrise;21319
02155;Chaillevois;21382
02156;Chalandry;21255
02157;Chambry;21131
02158;Chamouille;16448
02159;Champs;18629
02160;Chaourse;17278
02162;La Chapelle-sur-Chézy;20928
02163;Charly-sur-Marne;19438
02164;Le Charmel;18603
02165;Charmes;18819
02166;Chartèves;20829
02167;Chassemy;20625
02168;Château-Thierry;17435
02169;Châtillon-lès-Sons;N/A
02170;Châtillon-sur-Oise;20616
02171;Chaudardes;N/A
02172;Chaudun;20633
02173;Chauny;16506
02174;Chavignon;19293
02175;Chavigny;19552
02176;Chavonne;19155
02177;Chérêt;20943
02178;Chermizy-Ailles;20022
02179;Chéry-Chartreuve;20178
02180;Chéry-lès-Pouilly;19759
02181;Chéry-lès-Rozoy;N/A
02182;Chevennes;17930
02183;Chevregny;22493
02184;Chevresis-Monceau;18957
02185;Chézy-en-Orxois;21655
02186;Chézy-sur-Marne;22243
02187;Chierry;22448
02188;Chigny;16606
02189;Chivres-en-Laonnois;17380
02190;Chivres-Val;20414
02191;Chivy-lès-Étouvelles;21580
02192;Chouy;20455
02193;Cierges;N/A
02194;Cilly;18551
02195;Ciry-Salsogne;21243
02196;Clacy-et-Thierret;22578
02197;Clairfontaine;20258
02198;Clamecy;21178
02199;Clastres;19589
02200;Clermont-les-Fermes;15687
02201;Coeuvres-et-Valsery;21533
02203;Coincy;18384
02204;Coingt;N/A
02205;Colligis-Crandelain;19084
02206;Colonfay;N/A
02207;Commenchon;21523
02208;Concevreux;21290
02209;Condé-en-Brie;18877
02210;Condé-sur-Aisne;19943
02211;Condé-sur-Suippe;20407
02212;Condren;20216
02213;Connigis;20619
02214;Contescourt;N/A
02215;Corbeny;20259
02216;Corcy;22051
02217;Coucy-le-Château-Auffrique;19413
02218;Coucy-lès-Eppes;19956
02219;Coucy-la-Ville;20291
02220;Coulonges-Cohan;19661
02221;Coupru;20577
02222;Courbes;N/A
02223;Courboin;20579
02224;Courcelles-sur-Vesle;19202
02225;Courchamps;N/A
02226;Courmelles;20215
02227;Courmont;19607
02228;Courtemont-Varennes;19407
02229;Courtrizy-et-Fussigny;N/A
02230;Couvrelles;20989
02231;Couvron-et-Aumencourt;18831
02232;Coyolles;21412
02233;Cramaille;19988
02234;Craonne;N/A
02235;Craonnelle;20669
02236;Crécy-au-Mont;18186
02237;Crécy-sur-Serre;17896
02238;Crépy;19486
02239;Crézancy;18787
02240;Croix-Fonsomme;18417
02241;La Croix-sur-Ourcq;19145
02242;Crouttes-sur-Marne;20810
02243;Crouy;19004
02244;Crupilly;N/A
02245;Cuffies;19654
02246;Cugny;20512
02248;Cuirieux;16804
02249;Cuiry-Housse;21890
02250;Cuiry-lès-Chaudardes;N/A
02251;Cuiry-lès-Iviers;N/A
02252;Cuissy-et-Geny;N/A
02253;Cuisy-en-Almont;22556
02254;Cutry;22798
02255;Cys-la-Commune;19170
02256;Dagny-Lambercy;15259
02257;Dallon;23627
02258;Dammard;20716
02259;Dampleux;23444
02260;Danizy;17055
02261;Dercy;20189
02262;Deuillet;20932
02263;Dhuizel;20028
02264;Dizy-le-Gros;17038
02265;Dohis;18473
02266;Dolignon;N/A
02267;Dommiers;19290
02268;Domptin;20795
02269;Dorengt;19973
02270;Douchy;18620
02271;Dravegny;18424
02272;Droizy;N/A
02273;Dury;20607
02274;Ébouleau;17807
02275;Effry;14819
02276;Englancourt;20677
02277;Épagny;18743
02278;Éparcy;N/A
02279;Épaux-Bézu;23600
02280;Épieds;21692
02281;L'Épine-aux-Bois;20218
02282;Eppes;18684
02283;Erlon;17719
02284;Erloy;N/A
02286;Esquéhéries;18173
02287;Essigny-le-Grand;22768
02288;Essigny-le-Petit;18285
02289;Essises;21839
02290;Essômes-sur-Marne;21448
02291;Estrées;19691
02292;Étampes-sur-Marne;20238
02293;Étaves-et-Bocquiaux;18606
02294;Étouvelles;23485
02295;Étréaupont;16719
02296;Étreillers;21204
02297;Étrépilly;22104
02298;Étreux;17553
02299;Évergnicourt;20086
02301;Faucoucourt;20831
02302;Faverolles;21188
02303;Fayet;30097
02304;La Fère;14286
02305;Fère-en-Tardenois;17021
02306;La Ferté-Chevresis;19353
02307;La Ferté-Milon;20693
02308;Fesmy-le-Sart;17083
02309;Festieux;19847
02310;Fieulaine;20979
02311;Filain;20631
02312;La Flamengrie;18219
02313;Flavigny-le-Grand-et-Beaurain;18130
02315;Flavy-le-Martel;18728
02316;Fleury;24411
02317;Fluquières;22589
02318;Folembray;17435
02319;Fonsomme;17849
02320;Fontaine-lès-Clercs;21365
02321;Fontaine-lès-Vervins;19596
02322;Fontaine-Notre-Dame;21275
02323;Fontaine-Uterte;21199
02324;Fontenelle;18329
02326;Fontenoy;21480
02327;Foreste;16759
02328;Fossoy;23403
02329;Fourdrain;22203
02330;Francilly-Selency;23859
02331;Franqueville;17985
02332;Fresnes-en-Tardenois;19308
02333;Fresnes-sous-Coucy;18791
02334;Fresnoy-le-Grand;16722
02335;Fressancourt;18963
02336;Frières-Faillouël;20836
02337;Froidestrées;19264
02338;Froidmont-Cohartille;18958
02339;Gandelu;20362
02340;Gauchy;18687
02341;Gercy;21489
02342;Gergny;19905
02343;Germaine;N/A
02345;Gibercourt;N/A
02346;Gizy;19757
02347;Gland;23987
02349;Goudelancourt-lès-Berrieux;N/A
02350;Goudelancourt-lès-Pierrepont;18070
02351;Goussancourt;19273
02352;Gouy;16917
02353;Grandlup-et-Fay;19485
02354;Grandrieux;N/A
02355;Gricourt;20741
02356;Grisolles;18116
02357;Gronard;N/A
02358;Grougis;16768
02359;Grugies;19880
02360;Guignicourt;20479
02361;Guise;15544
02362;Guivry;19568
02363;Guny;18826
02364;Guyencourt;23660
02366;Hannapes;17117
02367;Happencourt;20377
02368;Haramont;21601
02369;Harcigny;17741
02370;Hargicourt;18504
02371;Harly;19983
02372;Hartennes-et-Taux;20209
02373;Hary;20318
02374;Lehaucourt;17850
02375;Hautevesnes;21564
02376;Hauteville;19608
02377;Haution;19471
02378;La Hérie;17682
02379;Le Hérie-la-Viéville;19271
02380;Hinacourt;N/A
02381;Hirson;14936
02382;Holnon;21775
02383;Homblières;21580
02384;Houry;N/A
02385;Housset;16549
02386;Iron;17173
02387;Itancourt;22245
02388;Iviers;17841
02389;Jaulgonne;21137
02390;Jeancourt;19578
02391;Jeantes;18491
02392;Joncourt;21673
02393;Jouaignes;21148
02395;Jumencourt;21597
02396;Jumigny;N/A
02397;Jussy;19064
02398;Juvigny;19611
02399;Juvincourt-et-Damary;20109
02400;Laffaux;21805
02401;Laigny;19782
02402;Lanchy;N/A
02403;Landifay-et-Bertaignemont;18551
02404;Landouzy-la-Cour;19121
02405;Landouzy-la-Ville;18761
02406;Landricourt;19475
02407;Laniscourt;22781
02408;Laon;16101
02409;Lappion;18856
02410;Largny-sur-Automne;23972
02411;Latilly;19396
02412;Launoy;16565
02413;Laval-en-Laonnois;18356
02414;Lavaqueresse;16800
02415;Laversine;26304
02416;Lemé;17376
02417;Lempire;17878
02418;Lerzy;19642
02419;Leschelle;20070
02420;Lesdins;21755
02421;Lesges;N/A
02422;Lesquielles-Saint-Germain;17608
02423;Leuilly-sous-Coucy;18699
02424;Leury;21792
02425;Leuze;16773
02426;Levergies;20420
02427;Lhuys;16307
02428;Licy-Clignon;N/A
02429;Lierval;21070
02430;Liesse-Notre-Dame;18311
02431;Liez;20104
02432;Limé;17995
02433;Lislet;18936
02434;Lizy;20229
02435;Logny-lès-Aubenton;N/A
02438;Longpont;19646
02439;Les Septvallons;19829
02440;Lor;16643
02441;Louâtre;20428
02442;Loupeigne;N/A
02443;Lucy-le-Bocage;21634
02444;Lugny;17993
02445;Luzoir;19521
02446;Ly-Fontaine;21872
02447;Maast-et-Violaine;17750
02448;Mâchecourt;16391
02449;Macogny;N/A
02450;Macquigny;16981
02451;Magny-la-Fosse;18106
02452;Maissemy;21400
02453;Maizy;19004
02454;La Malmaison;19758
02455;Malzy;17985
02456;Manicamp;18611
02457;Marchais;18819
02458;Dhuys et Morin-en-Brie;20525
02459;Marcy;23806
02460;Marcy-sous-Marle;19099
02461;Marest-Dampcourt;20282
02462;Mareuil-en-Dôle;19542
02463;Marfontaine;N/A
02464;Margival;20097
02465;Marigny-en-Orxois;21619
02466;Marizy-Sainte-Geneviève;22057
02467;Marizy-Saint-Mard;N/A
02468;Marle;16260
02469;Marly-Gomont;18075
02470;Martigny;17010
02471;Martigny-Courpierre;19173
02472;Mauregny-en-Haye;18683
02473;Mayot;18263
02474;Mennessis;20339
02475;Menneville;22284
02476;Mennevret;17058
02477;Mercin-et-Vaux;22139
02478;Merlieux-et-Fouquerolles;20019
02480;Mesbrecourt-Richecourt;20213
02481;Mesnil-Saint-Laurent;25079
02482;Meurival;N/A
02483;Mézières-sur-Oise;20574
02484;Mézy-Moulins;21010
02485;Missy-aux-Bois;24445
02486;Missy-lès-Pierrepont;18665
02487;Missy-sur-Aisne;22109
02488;Molain;20045
02489;Molinchart;22595
02490;Monampteuil;25498
02491;Monceau-le-Neuf-et-Faucouzy;18121
02492;Monceau-lès-Leups;19587
02493;Monceau-le-Waast;19372
02494;Monceau-sur-Oise;19007
02495;Mondrepuis;18753
02496;Monnes;22215
02497;Mons-en-Laonnois;21350
02498;Montaigu;19051
02499;Montbavin;N/A
02500;Montbrehain;17676
02501;Montchâlons;N/A
02502;Montcornet;15943
02503;Mont-d'Origny;17669
02504;Montescourt-Lizerolles;18528
02505;Montfaucon;20988
02506;Montgobert;23310
02507;Montgru-Saint-Hilaire;N/A
02508;Monthenault;21498
02509;Monthiers;20820
02510;Monthurel;21844
02511;Montigny-en-Arrouaise;18178
02512;Montigny-l'Allier;21586
02513;Montigny-le-Franc;18773
02514;Montigny-Lengrain;19990
02515;Montigny-lès-Condé;N/A
02516;Montigny-sous-Marle;N/A
02517;Montigny-sur-Crécy;18380
02518;Montlevon;21768
02519;Montloué;16386
02520;Mont-Notre-Dame;19783
02521;Montreuil-aux-Lions;20968
02522;Mont-Saint-Jean;N/A
02523;Mont-Saint-Martin;N/A
02524;Mont-Saint-Père;22684
02525;Morcourt;22496
02526;Morgny-en-Thiérache;N/A
02527;Morsain;19160
02528;Mortefontaine;22321
02529;Mortiers;17631
02530;Moulins;N/A
02531;Moussy-Verneuil;19097
02532;Moÿ-de-l'Aisne;19477
02533;Muret-et-Crouttes;18938
02534;Muscourt;N/A
02535;Nampcelles-la-Cour;17433
02536;Nampteuil-sous-Muret;N/A
02537;Nanteuil-la-Fosse;20559
02538;Nanteuil-Notre-Dame;N/A
02539;Nauroy;18624
02540;Nesles-la-Montagne;21872
02541;Neufchâtel-sur-Aisne;20406
02542;Neuflieux;N/A
02543;Neuilly-Saint-Front;17999
02544;Neuve-Maison;17175
02545;La Neuville-Bosmont;21877
02546;La Neuville-en-Beine;21171
02547;La Neuville-Housset;N/A
02548;La Neuville-lès-Dorengt;18386
02549;Neuville-Saint-Amand;21800
02550;Neuville-sur-Ailette;17940
02551;Neuville-sur-Margival;17179
02552;Neuvillette;21233
02553;Nizy-le-Comte;17451
02554;Nogentel;23084
02555;Nogent-l'Artaud;19623
02556;Noircourt;N/A
02557;Noroy-sur-Ourcq;20730
02558;Le Nouvion-en-Thiérache;17190
02559;Nouvion-et-Catillon;18388
02560;Nouvion-le-Comte;20114
02561;Nouvion-le-Vineux;24862
02562;Nouvron-Vingré;17749
02563;Noyales;18567
02564;Noyant-et-Aconin;22048
02565;Oeuilly;19676
02566;Ognes;20495
02567;Ohis;16723
02568;Oigny-en-Valois;24042
02569;Oisy;17491
02570;Ollezy;17099
02571;Omissy;22847
02572;Orainville;23207
02573;Orgeval;N/A
02574;Origny-en-Thiérache;17766
02575;Origny-Sainte-Benoite;17386
02576;Osly-Courtil;20042
02577;Ostel;N/A
02578;Oulches-la-Vallée-Foulon;N/A
02579;Oulchy-la-Ville;18952
